"director_name","duration","actor_2_name","gross","actor_1_name","movie_title","actor_3_name","language","country","budget","title_year","imdb_score","genres"
"Paul King",95,"Matt Lucas",76137505,"Julie Walters","Paddington ","Sally Hawkins","English","UK",55000000,2014,7.2,"Animation"
"Akiva Schaffer",102,"Nicholas Braun",34350553,"Will Forte","The Watch ","Rosemarie DeWitt","English","USA",68000000,2012,5.7,"Action"
"William Friedkin",94,"Jenna Boyd",34238611,"Connie Nielsen","The Hunted ","Rex Linn","English","USA",55000000,2003,6,"Action"
"Jon Turteltaub",126,"Maura Tierney",34098563,"Anthony Hopkins","Instinct ","John Ashton","English","USA",55000000,1999,6.5,"Drama"
"Bobby Farrelly",118,"Terence Bernie Hines",33828318,"Matt Damon","Stuck on You ","Seymour Cassel","English","USA",55000000,2003,5.8,"Comedy"
"Kent Alterman",99,"Maura Tierney",33472850,"Will Ferrell","Semi-Pro ","Matt Walsh","English","USA",55000000,2008,5.8,"Comedy"
"Peter Lord",88,"Russell Tovey",31051126,"Salma Hayek","The Pirates! Band of Misfits ","Brian Blessed","English","UK",55000000,2012,6.7,"Adventure"
"Clint Eastwood",141,"Michael Kelly",35707327,"Angelina Jolie Pitt","Changeling ","Colm Feore","English","USA",55000000,2008,7.8,"Crime"
"Andrew Davis",107,"Morgan Freeman",20550712,"Keanu Reeves","Chain Reaction ","Kevin Dunn","English","USA",50000000,1996,5.6,"Action"
"Tony Scott",116,"Kurt Fuller",18573791,"Robert De Niro","The Fan ","Ellen Barkin","English","USA",55000000,1996,5.8,"Action"
"Joel Schumacher",143,"Minnie Driver",51225796,"Gerard Butler","The Phantom of the Opera ","Miranda Richardson","English","UK",70000000,2004,7.4,"Drama"
"Shekhar Kapur",114,"Abbie Cornish",16264475,"Eddie Redmayne","Elizabeth: The Golden Age ","Jordi Mollà","English","UK",55000000,2007,6.9,"Biography"
"Karyn Kusama",93,"Sophie Okonedo",25857987,"Charlize Theron","Æon Flux ","Paterson Joseph","English","USA",62000000,2005,5.5,"Action"
"Ron Maxwell",280,"Bruce Boxleitner",12870569,"Billy Campbell","Gods and Generals ","John Castle","English","USA",56000000,2003,6.3,"Drama"
"Robert Butler",100,"Lauren Holly",11466088,"Hector Elizondo","Turbulence ","Jeffrey DeMunn","English","USA",71000000,1997,4.7,"Action"
"Karey Kirkpatrick",107,"Ronny Cox",16088610,"Stephen Root","Imagine That ","Richard Schiff","English","USA",55000000,2009,5.6,"Comedy"
"James Bobin",119,"Tina Fey",51178893,"Ty Burrell","Muppets Most Wanted ","Hugh Bonneville","English","USA",50000000,2014,6.4,"Adventure"
"Jonathan Frakes",95,"Philip Winchester",6768055,"Sophia Myles","Thunderbirds ","Brady Corbet","English","UK",57000000,2004,4.2,"Action"
"Steve Antin",119,"Peter Gallagher",39440655,"Eric Dane","Burlesque ","David Walton","English","USA",55000000,2010,6.4,"Drama"
"Guillermo del Toro",117,"Thomas Kretschmann",81645152,"Norman Reedus","Blade II ","Tony Curran","English","USA",54000000,2002,6.7,"Action"
"Gabriele Muccino",123,"Rosario Dawson",69951824,"Will Smith","Seven Pounds ","Madison Pettis","English","USA",55000000,2008,7.7,"Drama"
"Walter Hill",92,"Jason Momoa",9483821,"Sylvester Stallone","Bullet to the Head ","Jon Seda","English","USA",55000000,2012,5.7,"Action"
"Francis Ford Coppola",170,"Joe Mantegna",66676062,"Al Pacino","The Godfather: Part III ","Bridget Fonda","English","USA",54000000,1990,7.6,"Crime"
"Cameron Crowe",123,"Kirsten Dunst",26838389,"Orlando Bloom","Elizabethtown ","Judy Greer","English","USA",57000000,2005,6.4,"Comedy"
"Anthony Russo",110,"Billy Gardell",75604320,"Todd Stashwick","You, Me and Dupree ","Amanda Detmer","English","USA",54000000,2006,5.6,"Comedy"
"Richard Lester",116,"Ned Beatty",108200000,"Margot Kidder","Superman II ","Jackie Cooper","English","USA",54000000,1980,6.8,"Action"
"Martin Brest",121,"Lenny Venito",5660084,"Todd Giebenhain","Gigli ","David Backus","English","USA",54000000,2003,2.4,"Comedy"
"Steven Zaillian",128,"Anthony Hopkins",7221458,"Kate Winslet","All the King's Men ","Kevin Dunn","English","Germany",55000000,2006,6.2,"Drama"
"John Singleton",99,"Vanessa Williams",70327868,"Christian Bale","Shaft ","Daniel von Bargen","English","Germany",46000000,2000,5.9,"Action"
"Don Bluth",94,"Kelsey Grammer",58297830,"Kirsten Dunst","Anastasia ","Bernadette Peters","English","USA",50000000,1997,7.1,"Adventure"
"Baz Luhrmann",127,"Kylie Minogue",57386369,"Jim Broadbent","Moulin Rouge! ","Richard Roxburgh","English","USA",52500000,2001,7.6,"Drama"
"Harold Becker",89,"Teri Polo",45207112,"Steve Buscemi","Domestic Disturbance ","Matt O'Leary","English","USA",53000000,2001,5.5,"Crime"
"Scott Cooper",123,"Benedict Cumberbatch",62563543,"Johnny Depp","Black Mass ","Adam Scott","English","USA",53000000,2015,7,"Biography"
"Clint Eastwood",135,"Chris Bauer",33574332,"Paul Walker","Flags of Our Fathers ","Tom McCarthy","English","USA",90000000,2006,7.1,"Drama"
"F. Gary Gray",118,"Leslie Bibb",73343413,"Gerard Butler","Law Abiding Citizen ","Michael Kelly","English","USA",50000000,2009,7.4,"Crime"
"Robert Rodriguez",189,"Rosario Dawson",25031037,"Quentin Tarantino","Grindhouse ","Zoë Bell","English","USA",53000000,2007,7.6,"Action"
"Jonathan Demme",172,"Kimberly Elise",22843047,"Oprah Winfrey","Beloved ","Hill Harper","English","USA",55000000,1998,5.9,"Drama"
"Curtis Hanson",124,"Robert Duvall",5755286,"Robert Downey Jr.","Lucky You ","Kelvin Han Yee","English","USA",55000000,2007,5.9,"Drama"
"Steven Spielberg",141,"Tom Hanks",164435221,"Leonardo DiCaprio","Catch Me If You Can ","Jennifer Garner","English","USA",52000000,2002,8,"Biography"
"Kathryn Bigelow",157,"Harold Perrineau",95720716,"Jennifer Ehle","Zero Dark Thirty ","Parker Sawyers","English","USA",40000000,2012,7.4,"Drama"
"Peyton Reed",106,"John Michael Higgins",118683135,"Jon Favreau","The Break-Up ","Ann-Margret","English","USA",52000000,2006,5.8,"Comedy"
"Phyllida Lloyd",108,"Meryl Streep",143704210,"Colin Firth","Mamma Mia! ","Julie Walters","English","USA",52000000,2008,6.3,"Comedy"
"Garry Marshall",125,"Taylor Lautner",110476776,"Bradley Cooper","Valentine's Day ","Anne Hathaway","English","USA",52000000,2010,5.7,"Comedy"
"Jay Chandrasekhar",107,"Jessica Simpson",80270227,"Alice Greczyn","The Dukes of Hazzard ","Michael Weston","English","USA",50000000,2005,5.1,"Action"
"Terrence Malick",215,"Miranda Otto",36385763,"Nick Stahl","The Thin Red Line ","Dash Mihok","English","USA",52000000,1998,7.6,"Drama"
"David Dobkin",118,"Olivia Wilde",37035845,"Ryan Reynolds","The Change-Up ","Mircea Monroe","English","USA",52000000,2011,6.4,"Comedy"
"Milos Forman",118,"Gerry Becker",34580635,"Matt Price","Man on the Moon ","Tom Dreesen","English","UK",52000000,1999,7.4,"Biography"
"Martin Scorsese",178,"Don Rickles",42438300,"Robert De Niro","Casino ","Kevin Pollak","English","USA",52000000,1995,8.2,"Biography"
"Pierre Morel",92,"Amber Rose Revah",23324666,"Kasia Smutniak","From Paris with Love ","Rebecca Dayan","English","France",52000000,2010,6.5,"Action"
"Paul Hunter",104,"Mako",23020488,"Jaime King","Bulletproof Monk ","Victoria Smurfit","English","USA",52000000,2003,5.5,"Action"
"Bobby Farrelly",116,"Tony Cox",90567722,"Robert Forster","Me, Myself & Irene ","Rob Moran","English","USA",51000000,2000,6.5,"Comedy"
"Steve Oedekerk",90,"Wanda Sykes",72601713,"Rob Paulsen","Barnyard ","Maurice LaMarche","English","Germany",51000000,2006,5.6,"Animation"
"Chris Weitz",130,"Kristen Stewart",296623634,"Robert Pattinson","The Twilight Saga: New Moon ","Taylor Lautner","English","USA",50000000,2009,4.6,"Adventure"
"Andrew Adamson",90,"Chris Miller",267652016,"Kathleen Freeman","Shrek ","Bobby Block","English","USA",60000000,2001,7.9,"Adventure"
"George Nolfi",106,"Michael Kelly",62453315,"Matt Damon","The Adjustment Bureau ","Jon Stewart","English","USA",50200000,2011,7.1,"Romance"
"Kevin Reynolds",155,"Morgan Freeman",165500000,"Alan Rickman","Robin Hood: Prince of Thieves ","Michael Wincott","English","USA",48000000,1991,6.9,"Action"
"Cameron Crowe",139,"Kelly Preston",153620822,"Tom Cruise","Jerry Maguire ","Bonnie Hunt","English","USA",50000000,1996,7.3,"Comedy"
"Seth MacFarlane",112,"Seth MacFarlane",218628680,"Mila Kunis","Ted ","Tom Skerritt","English","USA",50000000,2012,7,"Comedy"
"James L. Brooks",139,"Yeardley Smith",147637474,"Lupe Ontiveros","As Good as It Gets ","Shirley Knight","English","USA",50000000,1997,7.7,"Comedy"
"Tom Shadyac",115,"Philip Seymour Hoffman",135014968,"Robin Williams","Patch Adams ","Monica Potter","English","USA",50000000,1998,6.7,"Biography"
"Adam McKay",143,"Will Ferrell",2175312,"Harrison Ford","Anchorman 2: The Legend Continues ","Steve Carell","English","USA",50000000,2013,6.3,"Comedy"
"Steven Brill",96,"Adam Sandler",126203320,"Steve Buscemi","Mr. Deeds ","Peter Gallagher","English","USA",50000000,2002,5.8,"Comedy"
"J.J. Abrams",112,"AJ Michalka",126975169,"Joel Courtney","Super 8 ","Zach Mills","English","USA",50000000,2011,7.1,"Mystery"
"Steven Soderbergh",131,"Albert Finney",125548685,"Julia Roberts","Erin Brockovich ","Conchata Ferrell","English","USA",52000000,2000,7.3,"Biography"
"Donald Petrie",116,"Adam Goldberg",105807520,"Matthew McConaughey","How to Lose a Guy in 10 Days ","Thomas Lennon","English","USA",50000000,2003,6.4,"Comedy"
"Phil Lord",112,"Craig Roberts",191616238,"Channing Tatum","22 Jump Street ","Amber Stevens West","English","USA",50000000,2014,7.1,"Action"
"Neil Jordan",123,"Tom Cruise",105264608,"Brad Pitt","Interview with the Vampire: The Vampire Chronicles ","Kirsten Dunst","English","USA",60000000,1994,7.6,"Drama"
"Peyton Reed",104,"Zooey Deschanel",97680195,"Bradley Cooper","Yes Man ","Danny Masterson","English","USA",70000000,2008,6.8,"Comedy"
"Rawson Marshall Thurber",107,"Thomas Kretschmann",126088877,"Dwayne Johnson","Central Intelligence ","Megan Park","English","USA",50000000,2016,6.6,"Action"
"Chris Columbus",124,"Liam Aiken",91030827,"Julia Roberts","Stepmom ","Herbert Russell","English","USA",50000000,1998,6.7,"Comedy"
"Sean Anders",96,"Linda Cardellini",150315155,"Will Ferrell","Daddy's Home ","Mark L. Young","English","USA",50000000,2015,6.1,"Comedy"
"Rob Marshall",125,"Meryl Streep",127997349,"Johnny Depp","Into the Woods ","Anna Kendrick","English","USA",50000000,2014,6,"Adventure"
"Spike Lee",129,"James Ransone",88504640,"Denzel Washington","Inside Man ","Peter Gerety","English","USA",45000000,2006,7.6,"Crime"
"Brian Helgeland",90,"Deborah Kara Unger",81517441,"Bill Duke","Payback ","William Devane","English","USA",50000000,1999,7.1,"Action"
"Frank Marshall",109,"Joe Don Baker",81022333,"Dylan Walsh","Congo ","Grant Heslov","English","USA",50000000,1995,5,"Action"
"Alex Proyas",121,"Ben Mendelsohn",79948113,"Nicolas Cage","Knowing ","Chandler Canterbury","English","USA",50000000,2009,6.2,"Drama"
"Tom Dey",95,"Matthew McConaughey",88658172,"Bradley Cooper","Failure to Launch ","Zooey Deschanel","English","USA",50000000,2006,5.6,"Comedy"
"Glenn Ficarra",118,"Emma Stone",84244877,"Ryan Gosling","Crazy, Stupid, Love. ","Steve Carell","English","USA",50000000,2011,7.4,"Comedy"
"Peter Hewitt",80,"Mark Christopher Lawrence",75367693,"Bill Murray","Garfield ","Michael Monks","English","USA",35000000,2004,5,"Animation"
"Joe Roth",99,"Cheech Marin",73701902,"Jamie Lee Curtis","Christmas with the Kranks ","Jake Busey","English","USA",60000000,2004,5.2,"Comedy"
"Bennett Miller",133,"Robin Wright",75605492,"Philip Seymour Hoffman","Moneyball ","Brad Pitt","English","USA",50000000,2011,7.6,"Biography"
"Wolfgang Petersen",127,"Morgan Freeman",67823573,"Kevin Spacey","Outbreak ","Rene Russo","English","USA",50000000,1995,6.6,"Action"
"Jaume Collet-Serra",106,"Nate Parker",91439400,"Liam Neeson","Non-Stop ","Scoot McNairy","English","UK",50000000,2014,7,"Action"
"Andy Fickman",98,"Billy Brown",67128202,"Dwayne Johnson","Race to Witch Mountain ","Tom Everett Scott","English","USA",65000000,2009,5.7,"Action"
"James McTeigue",132,"Eddie Marsan",70496802,"Natalie Portman","V for Vendetta ","Rupert Graves","English","USA",54000000,2005,8.2,"Action"
"David Dobkin",114,"Anna-Louise Plowman",60470220,"Fann Wong","Shanghai Knights ","Georgina Chapman","English","USA",50000000,2003,6.2,"Action"
"Matthew O'Callaghan",78,"Frank Welker",58336565,"Will Ferrell","Curious George ","Alexander Gould","English","USA",50000000,2006,6.6,"Adventure"
"Angela Robinson",101,"Thomas Lennon",66002004,"Scoot McNairy","Herbie Fully Loaded ","Cheryl Hines","English","USA",50000000,2005,4.7,"Adventure"
"Gary Fleder",113,"Jennifer Esposito",54997476,"Oliver Platt","Don't Say a Word ","Conrad Goode","English","USA",50000000,2001,6.3,"Crime"
"Tommy Wirkola",98,"Derek Mears",55682070,"Jeremy Renner","Hansel & Gretel: Witch Hunters ","Ingrid Bolsø Berdal","English","Germany",50000000,2013,6.1,"Action"
"Adrian Lyne",124,"Erik Per Sullivan",52752475,"Olivier Martinez","Unfaithful ","Chad Lowe","English","USA",50000000,2002,6.7,"Drama"
"D.J. Caruso",109,"Emily Wickersham",55092830,"Alex Pettyfer","I Am Number Four ","Reuben Langdon","English","USA",60000000,2011,6.1,"Action"
"Stephen Gaghan",128,"Amr Waked",50815288,"Matt Damon","Syriana ","Kayvan Novak","English","USA",50000000,2005,7,"Drama"
"Michael Bay",144,"James Badge Dale",52822418,"Toby Stephens","13 Hours ","David Costabile","English","USA",50000000,2016,7.4,"Action"
"Jorge R. Gutiérrez",95,"Hector Elizondo",50150619,"Channing Tatum","The Book of Life ","Ana de la Reguera","English","USA",50000000,2014,7.3,"Adventure"
"Richard Loncraine",105,"Harrison Ford",48745150,"Jimmy Bennett","Firewall ","Mary Lynn Rajskub","English","USA",50000000,2006,5.8,"Crime"
"Clint Eastwood",121,"Mark Margolis",50007168,"Clint Eastwood","Absolute Power ","Scott Glenn","English","USA",50000000,1997,6.7,"Action"
"Ridley Scott",125,"Demi Moore",48154732,"Viggo Mortensen","G.I. Jane ","John Michael Higgins","English","USA",50000000,1997,5.8,"Action"
"David Fincher",129,"Armin Mueller-Stahl",48265581,"Deborah Kara Unger","The Game ","Charles Martinet","English","USA",50000000,1997,7.8,"Drama"
"Christophe Gans",132,"Deborah Kara Unger",46982632,"Radha Mitchell","Silent Hill ","Alice Krige","English","Canada",50000000,2006,6.6,"Adventure"
"Howard Deutch",118,"Jon Favreau",44737059,"Keanu Reeves","The Replacements ","Faizon Love","English","USA",50000000,2000,6.5,"Comedy"
"Jon Hurwitz",113,"Dania Ramirez",56724080,"Alyson Hannigan","American Reunion ","Natasha Lyonne","English","USA",50000000,2012,6.7,"Comedy"
"F. Gary Gray",140,"Michael Cudlitz",44484065,"Kevin Spacey","The Negotiator ","Siobhan Fallon Hogan","English","Germany",50000000,1998,7.3,"Action"
"Steven Quale",89,"Alycia Debnam-Carey",47553512,"Matt Walsh","Into the Storm ","Scott Lawrence","English","USA",50000000,2014,5.8,"Action"
"John Landis",104,"Jon Tenney",42610000,"Louis Lombardi","Beverly Hills Cop III ","Gilbert R. Hill","English","USA",55000000,1994,5.5,"Action"
"Joe Dante",106,"Robert Picardo",41482207,"Christopher Lee","Gremlins 2: The New Batch ","Phoebe Cates","English","USA",50000000,1990,6.3,"Comedy"
"David Dobkin",141,"Robert Duvall",47105085,"Robert Downey Jr.","The Judge ","Leighton Meester","English","USA",50000000,2014,7.4,"Crime"
"Mimi Leder",124,"Holt McCallany",41256277,"Armin Mueller-Stahl","The Peacemaker ","Marcel Iures","English","USA",50000000,1997,5.9,"Action"
"Alexander Witt",98,"Thomas Kretschmann",50740078,"Milla Jovovich","Resident Evil: Apocalypse ","Mike Epps","English","Germany",45000000,2004,6.2,"Action"
"Beeban Kidron",108,"Jim Broadbent",40203020,"Colin Firth","Bridget Jones: The Edge of Reason ","Celia Imrie","English","UK",40000000,2004,5.9,"Comedy"
"Carl Franklin",114,"Sanaa Lathan",40905277,"Denzel Washington","Out of Time ","John Billingsley","English","USA",50000000,2003,6.5,"Crime"
"Steven Seagal",101,"Joan Chen",38590500,"Mike Starr","On Deadly Ground ","Sven-Ole Thorsen","English","USA",50000000,1994,4.4,"Action"
"Robert Rodriguez",93,"Kristin Davis",39177541,"Taylor Lautner","The Adventures of Sharkboy and Lavagirl 3-D ","Taylor Dooley","English","USA",50000000,2005,3.5,"Action"
"Danny Boyle",119,"Virginie Ledoyen",39778599,"Leonardo DiCaprio","The Beach ","Peter Youngblood Hills","English","USA",50000000,2000,6.6,"Adventure"
"Garry Marshall",119,"Felicity Huffman",37486138,"Amber Valletta","Raising Helen ","Spencer Breslin","English","USA",50000000,2004,6,"Comedy"
"James McTeigue",99,"Ben Miles",38105077,"Shô Kosugi","Ninja Assassin ","Rain","English","USA",40000000,2009,6.4,"Action"
"Sam Raimi",137,"Kelly Preston",35168395,"J.K. Simmons","For Love of the Game ","Carmine Giovinazzo","English","USA",50000000,1999,6.5,"Drama"
"Andrew Bergman",117,"Rumer Willis",32800000,"Demi Moore","Striptease ","Paul Guilfoyle","English","USA",40000000,1996,4.3,"Comedy"
"Tom Dey",87,"Judy Greer",33643461,"Emma Stone","Marmaduke ","Steve Coogan","English","USA",50000000,2010,4.2,"Comedy"
"Clint Eastwood",129,"Jay Mohr",32741596,"Matt Damon","Hereafter ","Cécile De France","English","USA",50000000,2010,6.5,"Drama"
"Barbet Schroeder",115,"Chris Penn",31874869,"Ryan Gosling","Murder by Numbers ","Agnes Bruckner","English","USA",50000000,2002,6.1,"Crime"
"Richard Donner",132,"Sylvester Stallone",30306268,"Muse Watson","Assassins ","Kelly Rowan","English","France",50000000,1995,6.3,"Action"
"Peter Webber",131,"Stephen Walters",27667947,"Li Gong","Hannibal Rising ","Richard Brake","English","UK",50000000,2007,6.2,"Crime"
"Rob Reiner",95,"Tim Matheson",27067160,"Bruce Willis","The Story of Us ","Rita Wilson","English","USA",50000000,1999,5.9,"Comedy"
"Andrew Niccol",125,"Chandler Canterbury",26616999,"J.D. Evermore","The Host ","Rachel Roberts","English","USA",40000000,2013,5.9,"Action"
"John McTiernan",98,"Harry Connick Jr.",26536120,"Connie Nielsen","Basic ","Tim Daly","English","Germany",50000000,2003,6.5,"Action"
"Clint Eastwood",110,"Anjelica Huston",26199517,"Clint Eastwood","Blood Work ","Rick Hoffman","English","USA",50000000,2002,6.4,"Action"
"Tom Tykwer",118,"Brían F. O'Byrne",25450527,"Naomi Watts","The International ","Armin Mueller-Stahl","English","USA",50000000,2009,6.5,"Action"
"John Carpenter",101,"Valeria Golino",25407250,"Steve Buscemi","Escape from L.A. ","Michelle Forbes","English","USA",50000000,1996,5.7,"Action"
"Brad Bird",90,"Harry Connick Jr.",23159305,"Vin Diesel","The Iron Giant ","M. Emmet Walsh","English","USA",70000000,1999,8,"Action"
"Wes Anderson",119,"Anjelica Huston",24006726,"Bill Murray","The Life Aquatic with Steve Zissou ","Matthew Gray Gubler","English","USA",50000000,2004,7.3,"Adventure"
"Gary Ross",139,"Donald Watkins",20389967,"Matthew McConaughey","Free State of Jones ","Jessica Collins","English","USA",50000000,2016,6.7,"Action"
"Alan Parker",130,"Kate Winslet",19593740,"Kevin Spacey","The Life of David Gale ","Matt Craven","English","USA",50000000,2003,7.5,"Crime"
"Stephen Herek",100,"Vanessa Ferlito",19118247,"Christina Milian","Man of the House ","Kelli Garner","English","USA",40000000,2005,5.4,"Action"
"Jaume Collet-Serra",114,"Common",26442251,"Liam Neeson","Run All Night ","Bruce McGill","English","USA",50000000,2015,6.6,"Action"
"David Cronenberg",96,"Naomi Watts",17114882,"Viggo Mortensen","Eastern Promises ","Raza Jaffrey","English","USA",25000000,2007,7.7,"Crime"
"John Stockwell",110,"James Frain",18472363,"Paul Walker","Into the Blue ","Ashley Scott","English","USA",50000000,2005,5.8,"Action"
"Luc Besson",158,"David Bailie",14131298,"Paul Brooke","The Messenger: The Story of Joan of Arc ","Rab Affleck","English","France",390000000,1999,6.4,"Adventure"
"David Gordon Green",102,"Zooey Deschanel",21557240,"Natalie Portman","Your Highness ","James Franco","English","USA",49900000,2011,5.6,"Adventure"
"Jim Sheridan",84,"Gregory Smith",21283440,"Naomi Watts","Dream House ","Sarah Gadon","English","USA",55000000,2011,6,"Drama"
"Costa-Gavras",115,"Blythe Danner",10556196,"Mia Kirshner","Mad City ","William Atherton","English","USA",50000000,1997,6.2,"Crime"
"Patrick Read Johnson",99,"Lara Flynn Boyle",16671505,"Joe Mantegna","Baby's Day Out ","Cynthia Nixon","English","USA",50000000,1994,5.9,"Adventure"
"Roland Joffé",135,"Robert Duvall",10400000,"Gary Oldman","The Scarlet Letter ","Demi Moore","English","USA",50000000,1995,5.1,"Drama"
"Doug Liman",108,"Ty Burrell",9528092,"Naomi Watts","Fair Game ","Brooke Smith","English","USA",22000000,2010,6.8,"Biography"
"Tony Scott",127,"Mo'Nique",10137232,"Ian Ziering","Domino ","Edgar Ramírez","English","France",50000000,2005,6,"Action"
"William Friedkin",107,"Chazz Palminteri",9795017,"Michael Biehn","Jade ","Linda Fiorentino","English","USA",50000000,1995,5.1,"Crime"
"Mark Neveldine",95,"Logan Lerman",20488579,"Gerard Butler","Gamer ","Alison Lohman","English","USA",50000000,2009,5.8,"Action"
"Richard LaGravenese",124,"Zoey Deutch",19445217,"Alden Ehrenreich","Beautiful Creatures ","Pruitt Taylor Vince","English","USA",60000000,2013,6.2,"Drama"
"Danny DeVito",109,"Vincent Schiavelli",8355815,"Robin Williams","Death to Smoochy ","Danny Woodburn","English","UK",55000000,2002,6.4,"Comedy"
"Ben Stiller",102,"Will Ferrell",28837115,"Milla Jovovich","Zoolander 2 ","Justin Theroux","English","USA",50000000,2016,4.8,"Comedy"
"George Armitage",88,"Andrew Wilson",6471394,"Morgan Freeman","The Big Bounce ","Willie Nelson","English","USA",50000000,2004,4.9,"Comedy"
"Mike Nichols",87,"Linda Fiorentino",6291602,"Judy Greer","What Planet Are You From? ","Garry Shandling","English","USA",50000000,2000,5.6,"Comedy"
"Patrick Lussier",104,"Billy Burke",10706786,"Nicolas Cage","Drive Angry ","Katy Mixon","English","USA",50000000,2011,5.5,"Action"
"Andrzej Bartkowiak",96,"Robin Shou",8742261,"Chris Klein","Street Fighter: The Legend of Chun-Li ","Josie Ho","English","Canada",18000000,2009,3.7,"Action"
"James Wong",85,"Jet Li",43905746,"Jason Statham","The One ","Delroy Lindo","English","USA",49000000,2001,5.9,"Action"
"Renny Harlin",104,"Gilbert Gottfried",21413502,"Lauren Holly","The Adventures of Ford Fairlane ","David Patrick Kelly","English","USA",40000000,1990,6.3,"Action"
"Steven Soderbergh",190,"Jacob Vargas",124107476,"Michael O'Neill","Traffic ","James Lew","English","USA",48000000,2000,7.6,"Crime"
"Steven Spielberg",127,"Julian Glover",197171806,"Harrison Ford","Indiana Jones and the Last Crusade ","Alison Doody","English","USA",48000000,1989,8.3,"Action"
"Neill Blomkamp",120,"Sharlto Copley",31569268,"Hugh Jackman","Chappie ","Jose Pablo Cantillo","English","USA",49000000,2015,6.9,"Action"
"Phillip Noyce",118,"Angelina Jolie Pitt",66488090,"Denzel Washington","The Bone Collector ","Leland Orser","English","USA",48000000,1999,6.7,"Crime"
"David Fincher",112,"Dwight Yoakam",95308367,"Kristen Stewart","Panic Room ","Mel Rodriguez","English","USA",48000000,2002,6.8,"Crime"
"David O. Russell",114,"Jamie Kennedy",60652036,"Judy Greer","Three Kings ","Mykelti Williamson","English","USA",48000000,1999,7.1,"Action"
"Daniel Espinosa",137,"Fares Fares",1206135,"Tom Hardy","Child 44 ","Michael Nardone","English","Czech Republic",50000000,2015,6.4,"Crime"
"Jerry Zucker",112,"Douglas Haase",56607223,"Corinna Harney","Rat Race ","Vince Vieluf","English","Canada",48000000,2001,6.4,"Adventure"
"Iain Softley",120,"Jeff Bridges",50173190,"Kevin Spacey","K-PAX ","Alfre Woodard","English","USA",48000000,2001,7.4,"Drama"
"James Mangold",123,"Natasha Lyonne",47095453,"Hugh Jackman","Kate & Leopold ","Bradley Whitford","English","USA",48000000,2001,6.4,"Comedy"
"Harold Ramis",93,"Frances O'Connor",37879996,"Brendan Fraser","Bedazzled ","Brian Doyle-Murray","English","USA",48000000,2000,6,"Comedy"
"Francis Ford Coppola",123,"Bob Hoskins",25900000,"Nicolas Cage","The Cotton Club ","Fred Gwynne","English","USA",58000000,1984,6.5,"Crime"
"James Mangold",122,"Logan Lerman",53574088,"Christian Bale","3:10 to Yuma ","Gretchen Mol","English","USA",55000000,2007,7.8,"Adventure"
"Olivier Megaton",115,"Dougray Scott",89253340,"Liam Neeson","Taken 3 ","Jon Gries","English","France",48000000,2014,6,"Action"
"Steven Soderbergh",123,"Albert Brooks",37339525,"Don Cheadle","Out of Sight ","Keith Hudson","English","USA",48000000,1998,7,"Crime"
"Ben Stiller",96,"Janeane Garofalo",60154431,"Matthew Broderick","The Cable Guy ","Andy Dick","English","USA",47000000,1996,6,"Comedy"
"Warren Beatty",105,"Warren Beatty",103738726,"Charlie Korsmo","Dick Tracy ","Seymour Cassel","English","USA",100000000,1990,6.1,"Action"
"John McTiernan",113,"Faye Dunaway",69304264,"Mark Margolis","The Thomas Crown Affair ","Denis Leary","English","USA",48000000,1999,6.8,"Crime"
"Penny Marshall",132,"Adam Garcia",29781453,"Rosie Perez","Riding in Cars with Boys ","Alissa Dean","English","USA",48000000,2001,6.4,"Biography"
"Paul Bolger",75,"George Carlin",15519841,"Sarah Michelle Gellar","Happily N'Ever After ","Rob Paulsen","English","USA",47000000,2006,4.5,"Adventure"
"Stephen Frears",108,"Bronagh Gallagher",5600000,"Julia Roberts","Mary Reilly ","George Cole","English","USA",47000000,1996,5.8,"Drama"
"P.J. Hogan",105,"Christopher Masterson",126805112,"Julia Roberts","My Best Friend's Wedding ","Rupert Everett","English","USA",46000000,1997,6.3,"Comedy"
"Joe Roth",102,"Rainn Wilson",93607673,"Julia Roberts","America's Sweethearts ","Larry King","English","USA",48000000,2001,5.7,"Comedy"
"Christopher Nolan",118,"Maura Tierney",67263182,"Al Pacino","Insomnia ","Crystal Lowe","English","USA",46000000,2002,7.2,"Drama"
"Jonathan Frakes",111,"Alfre Woodard",92001027,"LeVar Burton","Star Trek: First Contact ","Jonathan Frakes","English","USA",45000000,1996,7.6,"Action"
"Jimmy Hayward",81,"Billy Blair",10539414,"Michael Fassbender","Jonah Hex ","Julia Jones","English","USA",47000000,2010,4.7,"Action"
"Edward Zwick",116,"Matt Damon",58918501,"Denzel Washington","Courage Under Fire ","Scott Glenn","English","USA",46000000,1996,6.6,"Action"
"Tom Shadyac",86,"Swoosie Kurtz",181395380,"Maura Tierney","Liar Liar ","Randall 'Tex' Cobb","English","USA",45000000,1997,6.8,"Comedy"
"Brad Furman",127,"Amy Ryan",14946229,"Joseph Gilgun","The Infiltrator ","Olympia Dukakis","English","UK",25000000,2016,7.3,"Biography"
"Brian Levant",91,"Elizabeth Perkins",130512915,"Jonathan Winters","The Flintstones ","Harvey Korman","English","USA",45000000,1994,4.8,"Comedy"
"Olivier Megaton",98,"Luke Grimes",139852971,"Liam Neeson","Taken 2 ","D.B. Sweeney","English","France",45000000,2012,6.3,"Action"
